Date,Type,Registration,Operator,Fatalities,Location,Cat
03-JUN-1971,Douglas C-47B (DC-3),PH-MOA,03-JUN-1971,0.0,Southend Mun...,A1
03-JUN-1971,Boeing KC-135Q,58-0039,03-JUN-1971,5.0,Centenera,A1
04-JUN-1971,Boeing 737-200,,04-JUN-1971,0.0,Washington-D...,H2
05-JUN-1971,Douglas C-47 (DC-3),49-2614,05-JUN-1971,0.0,Preveza-Akti...,A1
06-JUN-1971,DC-9-31,N9345,06-JUN-1971,49.0,"near Duarte, CA",A1
06-JUN-1971,Douglas C-124C Globemaster II,51-0167,06-JUN-1971,,Riverside-Ma...,A1
07-JUN-1971,Convair CV-580,N5832,07-JUN-1971,28.0,near New Haven Ai...,A1
11-JUN-1971,Boeing 727,,11-JUN-1971,1.0,New York-Joh...,H2
11-JUN-1971,Fairchild C-82A Packet,PT-DLP,11-JUN-1971,,"Belém, PA",A1
13-JUN-1971,Douglas C-47A (DC-3),EP-ADG,13-JUN-1971,,Shiraz,U1
13-JUN-1971,Boeing C-135B,61-0331,13-JUN-1971,24.0,"near Hawaii, USA",A1
17-JUN-1971,Douglas DC-6,CP-926,17-JUN-1971,6.0,near Putre,A1
18-JUN-1971,Boeing 737-200,,18-JUN-1971,0.0,Winston-Sale...,H2
20-JUN-1971,Douglas DC-4,HK-115,20-JUN-1971,0.0,Medellín-Enr...,H2
20-JUN-1971,HAL-748,VT-DXM,20-JUN-1971,0.0,Madras Airpo...,A2
21-JUN-1971,CSR-123 Otter (DHC-3),9410,21-JUN-1971,0.0,McKenzie Lak...,A1
28-JUN-1971,Douglas C-47 (DC-3),N90627,28-JUN-1971,17.0,Shelter Cove...,A1
29-JUN-1971,DC-9-14,,29-JUN-1971,0.0,København-Ka...,H2
30-JUN-1971,Curtiss C-46A,CF-NAE,30-JUN-1971,0.0,Hall Beach A...,O1
30-JUN-1971,Douglas C-47B (DC-3),XW-TDI,30-JUN-1971,,Ban Honeisai,U1
30-JUN-1971,Douglas C-47B (DC-3),T.3-37,30-JUN-1971,3.0,near Las Palmas-G...,A1
??-JUN-1971,Dornier Do 28D-1 Skyservant,TR-LOS,??-JUN-1971,,,A1
02-JUL-1971,Boeing 707,,02-JUL-1971,0.0,Buenos Aires...,H2
03-JUL-1971,NAMC YS-11A-217,JA8764,03-JUL-1971,68.0,Yokotsu Mt,A1
05-JUL-1971,Dassault Falcon 20C,N805F,05-JUL-1971,0.0,"Boca Raton, FL",A1
11-JUL-1971,unknown,,11-JUL-1971,1.0,Havana-José ...,H2
13-JUL-1971,Fokker F-27 Friendship 100,VT-DOL,13-JUL-1971,0.0,Gauhati-Borj...,A2
15-JUL-1971,Antonov An-2R,CCCP-06266,15-JUL-1971,2.0,near Pochop,A1
16-JUL-1971,Douglas C-47B (DC-3),N74844,16-JUL-1971,0.0,Windsor Lock...,A1
16-JUL-1971,Antonov An-2SX,CCCP-43828,16-JUL-1971,1.0,Kamennaya Sa...,A1
16-JUL-1971,Lockheed P2V-7 Neptune,4651,16-JUL-1971,,unknown,U1
22-JUL-1971,Antonov An-12 ?,,22-JUL-1971,11.0,near Jeddah,A1
23-JUL-1971,Boeing 727,,23-JUL-1971,1.0,New York-La ...,H2
24-JUL-1971,Douglas C-47A (DC-3),6V-AAP,24-JUL-1971,6.0,near Bamako Airpo...,A1
24-JUL-1971,DC-8,,24-JUL-1971,0.0,,H2
25-JUL-1971,Boeing 707-321C,N461PA,25-JUL-1971,4.0,near Manila Inter...,A1
25-JUL-1971,Tupolev Tu-104B,CCCP-42405,25-JUL-1971,97.0,Irkutsk Airp...,A1
27-JUL-1971,CASA 352 (Ju-52),T.2B-198,27-JUL-1971,,,U1
28-JUL-1971,Yakovlev Yak-40,CCCP-87719,28-JUL-1971,0.0,Lipetsk Airp...,A1
29-JUL-1971,Antonov An-12B,CCCP-12993,29-JUL-1971,0.0,Calcutta-Dum...,A1
30-JUL-1971,Nord 2501 Noratlas,49/F-RABB,30-JUL-1971,37.0,near Pau,A1
30-JUL-1971,Boeing 727-281,JA8329,30-JUL-1971,162.0,near Shizukuishi,A1
30-JUL-1971,Boeing 747-121,N747PA,30-JUL-1971,0.0,San Francisc...,A2
??-JUL-1971,Morane Saulnier MS.760 Paris I,31,??-JUL-1971,0.0,Lyon-Bron Ai...,A1
??-JUL-1971,Douglas DC-3C,OO-SBC,??-JUL-1971,,Benghazi-Ben...,A1
04-AUG-1971,Boeing 707-324C,N47330,04-AUG-1971,0.0,"Compton, CA",A2
07-AUG-1971,Douglas C-47A (DC-3),TC-31,07-AUG-1971,0.0,Villa Reynol...,A1
08-AUG-1971,Vickers 745D Viscount,N7415,08-AUG-1971,0.0,Honolulu Int...,O1
09-AUG-1971,Vickers 768D Viscount,VT-DIX,09-AUG-1971,0.0,Jaipur-Sanga...,A1
10-AUG-1971,Fairchild C-119 Flying Boxcar,3149,10-AUG-1971,,unknown,U1
11-AUG-1971,Grumman HU-16A Albatross,MM50-175,11-AUG-1971,1.0,Lago Braccia...,A1
16-AUG-1971,Antonov An-12A,BL918,16-AUG-1971,11.0,near Ahmednagar,A1
20-AUG-1971,Convair CV-580,N5844,20-AUG-1971,0.0,Pittsburgh I...,A1
21-AUG-1971,Douglas C-47A (DC-3),BJ923,21-AUG-1971,,,U1
22-AUG-1971,Douglas DC-3A-375,B-304,22-AUG-1971,0.0,Kampot Airpo...,U1
22-AUG-1971,Ilyushin Il-18,,22-AUG-1971,0.0,,H2
23-AUG-1971,Grumman C-2A Greyhound,152788,23-AUG-1971,,,U1
24-AUG-1971,Boeing 707,,24-AUG-1971,0.0,Madrid-Baraj...,C2
27-AUG-1971,Volpar Turboliner,N351V,27-AUG-1971,1.0,Fairview Par...,A1
28-AUG-1971,Ilyushin Il-18V,HA-MOC,28-AUG-1971,32.0,near København-Ka...,A1
01-SEP-1971,Consolidated PBY-5A Catalina,CF-HTN,01-SEP-1971,2.0,"Pine Point, NWT",A1
01-SEP-1971,PBV-1A Canso (PBY-5A),CF-IDS,01-SEP-1971,2.0,"Pine Point, NWT",A1
03-SEP-1971,Canadair CL-215,F-ZBBG,03-SEP-1971,0.0,"near Esigna, Corsica",A1
03-SEP-1971,DC-9,,03-SEP-1971,0.0,,H2
