Date,Type,Registration,Operator,Fatalities,Location,Latitude,Longitude
24-JUL-2009,Ilyushin Il-62M,UP-I6208,24-JUL-2009,16,Mashhad-Shah...,36.4701297,59.4685151
29-JUL-2009,DHC-6 Twin Otter 300,OY-POF,29-JUL-2009,0,near Constable Point,44.929321,-74.297447
04-AUG-2009,ATR 72-212A (ATR 72-500),HS-PGL,04-AUG-2009,1,Koh Samui Ai...,50.1160754,8.6863384
10-AUG-2009,Boeing 737-881 (WL),JA56AN,10-AUG-2009,0,Tokyo-Haneda...,35.5479444,139.7466458
14-AUG-2009,Beech 99,F-BTME,14-AUG-2009,2,Bairro de Al...,-12.7068994,-38.3302257
23-AUG-2009,Dornier 328-100,RP-C6328,23-AUG-2009,0,Manila-Ninoy...,14.5121499,121.0220184
26-AUG-2009,Antonov An-12BK,TN-AIA,26-AUG-2009,6,near Brazzaville-...,-4.2694407,15.2712256
26-AUG-2009,Cessna 208B Grand Caravan,YV1183,26-AUG-2009,0,near La Tortuga,41.7013432,2.8686713
27-AUG-2009,Ilyuhsin Il-76TD,T-906,27-AUG-2009,0,Luanda-4 de ...,-8.8272699,13.2439512
28-AUG-2009,Boeing E-3C Sentry (707-300),83-0008,28-AUG-2009,0,Las Vegas-Ne...,36.1672559,-115.1485163
??-AUG-2009,Antonov An-24RV,UK-46658,??-AUG-2009,0,Zarafshan Ai...,41.5715707,64.2053263
06-SEP-2009,BN-2A Islander,VQ-TAH,06-SEP-2009,0,Grand Turk I...,21.467964,-71.1387218
06-SEP-2009,BN-2A-26 Islander,VQ-TAA,06-SEP-2009,0,Grand Turk I...,21.467964,-71.1387218
07-SEP-2009,GAF Nomad N.24A,P-837,07-SEP-2009,5,"Long Apung, ...",2.7781114,117.4986582
09-SEP-2009,Antonov An-2R,UR-70427,09-SEP-2009,0,"Onikeevo, Ki...",1.421,172.984
09-SEP-2009,Boeing 737-852,EI-DRA,09-SEP-2009,0,Mexico City-...,19.4326296,-99.1331785
09-SEP-2009,Yakovlev Yak-40,RA-87447,09-SEP-2009,0,Aktyubinsk A...,38.5,-0.5
13-SEP-2009,MD-11F,D-ALCO,13-SEP-2009,0,Mexico City-...,19.4326296,-99.1331785
14-SEP-2009,Fokker 100,D-AFKE,14-SEP-2009,0,Stuttgart-Ec...,-1.25,-78.25
15-SEP-2009,Cessna 208 Caravan I,N336DN,15-SEP-2009,0,"Sheffield, MA",53.3806626,-1.4702278
22-SEP-2009,Ilyushin Il-76MD Simorgh,5-8208,22-SEP-2009,7,near Varamin,35.3348824,51.644948
28-SEP-2009,NAMC YS-11M-A-624,9044,28-SEP-2009,0,Ozuki Airport,34.0452995,131.052002
06-OCT-2009,Cessna UC-35A (Cessna 560 Citation,98-0008,06-OCT-2009,0,Anchorage-El...,61.2163129,-149.894852
06-OCT-2009,Beech B100 King Air,N2TX,06-OCT-2009,0,"near Aurora, TX",33.0595799,-97.511071
08-OCT-2009,Antonov An-32A,354,08-OCT-2009,0,Kandahar Air...,31.5124803,65.8643602
09-OCT-2009,CASA C-212 Aviocar 200,FAU-531,09-OCT-2009,11,near Fonds-Verrettes,18.3938882,-71.8557777
09-OCT-2009,PZL-Mielec M28 Skytruck,YV1769,09-OCT-2009,0,Las Minas,19.7039064,-97.1559738
12-OCT-2009,Embraer Phenom 100,PP-AFM,12-OCT-2009,0,Angra dos Re...,-23.0063966,-44.316326
13-OCT-2009,Boeing 707-321C,J5-GGU,13-OCT-2009,0,Mombasa-Moi ...,-4.0265226,39.6007207
13-OCT-2009,Beech C-12C Huron,78-23135,13-OCT-2009,3,Nuristan Pro...,41.8386,-94.10718
15-OCT-2009,Douglas DC-3C,HK-1149,15-OCT-2009,0,near Miraflores A...,-12.2090464,-76.9571167
17-OCT-2009,Douglas DC-3C,RP-C550,17-OCT-2009,4,near Manila-Ninoy...,14.5142872,121.0035537
20-OCT-2009,MD-11F,N701GC,20-OCT-2009,0,Montevideo-C...,-34.0518598,18.6153451
22-OCT-2009,Dornier 228-202K,RP-C2282,22-OCT-2009,0,Pamalican Is...,11.3543993,120.7305087
26-OCT-2009,Beech B100 King Air,N729MS,26-OCT-2009,4,"near Benavides, TX",27.5958449,-98.4118298
28-OCT-2009,Airbus A321-231,HL7763,28-OCT-2009,0,Osaka-Kansai...,34.6722449,135.5575867
29-OCT-2009,Lockheed HC-130H Hercules,1705,29-OCT-2009,7,near San Clemente...,45.5448285,8.0267832
02-NOV-2009,PZL-Mielec M28-05PI Skytruck,P-4202,02-NOV-2009,4,near Mulia,5.565613,95.3238498
02-NOV-2009,Learjet C-21A (Learjet 35A),84-0094,02-NOV-2009,0,Ali Air Base,30.9355486,46.0899961
05-NOV-2009,Grumman G-111 Albatross,N120FB,05-NOV-2009,0,Fort Pierce-...,27.4467056,-80.3256056
07-NOV-2009,Ilyushin Il-76MD,RA-86894,07-NOV-2009,0,Ivanovo-Seve...,20.83568,-89.37174
09-NOV-2009,Beech 1900D,5Y-VVQ,09-NOV-2009,1,Nairobi-Wils...,51.5300309,11.7802698
09-NOV-2009,Beech B200 King Air,N337MT,09-NOV-2009,0,Greenville-S...,33.1045647,-96.6618825
15-NOV-2009,CASA C-212-CB Aviocar 100,F-GOGN,15-NOV-2009,0,Saint-Jean-d...,43.6650391,1.5039252
18-NOV-2009,IAI 1124A Westwind II,VH-NGA,18-NOV-2009,0,near Norfolk Isla...,-29.0563564,167.9595733
18-NOV-2009,Fokker 100,EP-CFO,18-NOV-2009,0,Isfahan-Shah...,32.6547572,51.6784021
19-NOV-2009,DC-9-82 (MD-82),9Q-CAB,19-NOV-2009,0,Goma Airport...,-1.6648635,29.2381116
23-NOV-2009,Lockheed KC-130J Hercules,MM62176,23-NOV-2009,5,"Le Rene, nea...",43.8805594,-0.3675097
28-NOV-2009,MD-11F,Z-BAV,28-NOV-2009,3,Shanghai-Pud...,-47.75034,-65.89382
01-DEC-2009,Boeing 727-222F,PR-MTK,01-DEC-2009,0,São Paulo-Gu...,-23.5506507,-46.6333824
09-DEC-2009,Beech A100 King Air,C-GPBA,09-DEC-2009,2,near Saint-Honoré...,44.9724177,5.8259673
11-DEC-2009,Beech B300 King Air 350,RP-C2296,11-DEC-2009,0,Isabel-Pasar...,10.8922175,124.4349977
17-DEC-2009,Dassault Falcon 20D,N28RK,17-DEC-2009,2,near Matthew Town...,20.9504006,-73.6726951
20-DEC-2009,Swearingen SA227-AC Metro III,C6-JER,20-DEC-2009,0,Cap Haitien ...,19.7595236,-72.2008068
21-DEC-2009,Boeing 737-301,PK-MDH,21-DEC-2009,0,Makassar-Sul...,-5.1563705,119.4373246
22-DEC-2009,Boeing 737-823 (WL),N977AN,22-DEC-2009,0,Kingston-Nor...,44.9870845,-64.9499635
29-DEC-2009,DHC-3T Vazar Turbine Otter,DQ-GLL ?,29-DEC-2009,0,near Vomo Island,6.8859209,-10.7511349
02-JAN-2010,Boeing 727-231F Super 27,9Q-CAA,02-JAN-2010,0,Kinshasa-N'D...,-4.3217055,15.3125974
02-JAN-2010,Swearingen SA227-AC Metro III,N227ML,02-JAN-2010,0,Somerset-Lak...,41.6784061,-81.2301596
07-JAN-2010,Saab 340A,C6-SBE,07-JAN-2010,0,Nassau-Lynde...,50.71284,2.4207
08-JAN-2010,Dassault Falcon 20C,XA-PCC,08-JAN-2010,0,Vail-Eagle C...,39.6440207,-106.3801669
10-JAN-2010,Airbus A319-131,N816UA,10-JAN-2010,0,Newark-Liber...,49.92415,14.48062
13-JAN-2010,DHC-8-102,5Y-EMD,13-JAN-2010,0,Moba Airport...,-7.0847933,29.737128
14-JAN-2010,Cessna 208B Grand Caravan,VH-NTQ,14-JAN-2010,0,Beagle Bay A...,-16.9837386,122.6644506
21-JAN-2010,Beech 1900C-1,N112AX,21-JAN-2010,2,near Sand Point M...,45.5174371,-61.2565109
21-JAN-2010,Boeing 747-4R7F,LX-OCV,21-JAN-2010,0,Luxembourg-F...,49.6113146,6.1842298
25-JAN-2010,Embraer EMB-110C Bandeirante,PT-TAF,25-JAN-2010,2,near Senador José...,18.8187662,-71.901556
25-JAN-2010,Lockheed C-130B Hercules,404,25-JAN-2010,0,Waterkloof A...,-25.7791667,28.2383333
28-JAN-2010,Lockheed L-188CF Electra,G-LOFB,28-JAN-2010,0,Coventry-Bag...,16.41639,120.59306
31-JAN-2010,Yakovlev Yak-40,D2-FES,31-JAN-2010,0,Luanda-4 de ...,-8.8272699,13.2439512
02-FEB-2010,Lockheed C-130E Hercules,1506,02-FEB-2010,0,Mazar-I-Shar...,34.5316921,69.164135
06-FEB-2010,Bombardier Global Express,N400GX,06-FEB-2010,0,Washington-D...,47.3979139,-122.3294327
06-FEB-2010,Dassault Falcon 2000EX,N62YC,06-FEB-2010,0,Washington-D...,47.3979139,-122.3294327
06-FEB-2010,Dassault Falcon 900EX,N106RW,06-FEB-2010,0,Washington-D...,47.3979139,-122.3294327
06-FEB-2010,Beech Beechjet 400A,N109CP,06-FEB-2010,0,Washington-D...,47.3979139,-122.3294327
06-FEB-2010,Hawker 800XP,N800LA,06-FEB-2010,0,Washington-D...,47.3979139,-122.3294327
06-FEB-2010,Cessna 208B Super Cargomaster,N708FX,06-FEB-2010,0,Washington-D...,47.3979139,-122.3294327
06-FEB-2010,Bombardier Global Express,N620K,06-FEB-2010,0,Washington-D...,47.3979139,-122.3294327
06-FEB-2010,Bombardier Global Express XRS,N528JR,06-FEB-2010,0,Washington-D...,47.3979139,-122.3294327
06-FEB-2010,MD-81,OY-KHP,06-FEB-2010,0,Grenoble-Sai...,49.4914285,0.5723271
11-FEB-2010,Fokker 100,XA-SHJ,11-FEB-2010,0,Monterrey-Ge...,-33.3992916,-71.2174773
17-FEB-2010,Cessna 208B Grand Caravan,N207DR,17-FEB-2010,0,near Kwigillingok...,59.8753823,-163.1567228
17-FEB-2010,Embraer Phenom 100,PR-UUT,17-FEB-2010,0,São Paulo-Ca...,-23.5503898,-46.633081
18-FEB-2010,Cessna 208B Super Cargomaster,N892FE,18-FEB-2010,0,Sacramento I...,28.7246667,-111.3558333
01-MAR-2010,Airbus A300B4-203F,TC-ACB,01-MAR-2010,0,Bagram Air B...,34.9399083,69.2686001
30-MAR-2010,Antonov An-74,RA-74017,30-MAR-2010,0,Ivanovo-Seve...,20.83568,-89.37174
01-APR-2010,Learjet 25XR,XA-UNC,01-APR-2010,0,Huatulco-Bah...,26.03333,50.55
12-APR-2010,Rockwell T-39N Sabreliner,165513,12-APR-2010,4,"near Morganton, F...",35.7454291,-81.6870837
12-APR-2010,DHC-6 Twin Otter 300,C-GKBC,12-APR-2010,0,Melville Isl...,51.54702,-0.10944
13-APR-2010,Boeing 737-322,PK-MDE,13-APR-2010,0,Manokwari-Re...,-21.1,55.6
13-APR-2010,Airbus A300B4-203F,XA-TUE,13-APR-2010,5+ 1,near Monterrey-Ge...,-33.3992916,-71.2174773
13-APR-2010,Airbus A330-342,B-HLL,13-APR-2010,0,Hong Kong-Ch...,47.5651063,7.5981445
15-APR-2010,Antonov An-2,RF-00259,15-APR-2010,0,near Saransk,54.18671,45.18383
19-APR-2010,DHC-6 Twin Otter 300,9N-ABX,19-APR-2010,0,Kangel Danda...,27.410708,86.6463633
